Name,Id,Lon,Lat,Hgt
KEFAR GILADI,KEFAR GILADI, 35.5696, 33.2404, 365
DAFNA,DAFNA, 35.6350, 33.2277, 135
KEFAR BLUM,KEFAR BLUM, 35.6133, 33.1716, 75
MEROM GOLAN PICMAN,MEROM GOLAN PICMAN, 35.8045, 33.1288, 945
ROSH HANIQRA,ROSH HANIQRA, 35.1079, 33.0806, 10
ELON,ELON, 35.2173, 33.0653, 300
AYYELET HASHAHAR,AYYELET HASHAHAR, 35.5735, 33.0244, 170
SHAVE ZIYYON,SHAVE ZIYYON, 35.0923, 32.9836, 5
ZEFAT HAR KENAAN,ZEFAT HAR KENAAN, 35.5070, 32.9800, 936
HARASHIM,HARASHIM, 35.3287, 32.9560, 830
AMMIAD,AMMIAD, 35.5135, 32.9150, 215
GAMLA,GAMLA, 35.7487, 32.9052, 405
ESHHAR,ESHHAR, 35.3015, 32.8844, 370
KEFAR NAHUM,KEFAR NAHUM, 35.5792, 32.8835, -200
BET ZAYDA,BET ZAYDA, 35.6504, 32.8800, -200
DEIR HANNA,DEIR HANNA, 35.3741, 32.8621, 280
AFEQ,AFEQ, 35.1123, 32.8466, 10
HAIFA PORT,HAIFA PORT, 34.9977, 32.8283, 10
LEV KINERET,LEV KINERET, 35.6053, 32.8214, -213
AVNE ETAN,AVNE ETAN, 35.7622, 32.8174, 375
HAIFA REFINERIES,HAIFA REFINERIES, 35.0548, 32.8034, 5
HAIFA TECHNION,HAIFA TECHNION, 35.0223, 32.7736, 245
HAIFA UNIVERSITY,HAIFA UNIVERSITY, 35.0208, 32.7611, 475
NEWE YAAR,NEWE YAAR, 35.1784, 32.7078, 115
TAVOR KADOORIE,TAVOR KADOORIE, 35.4069, 32.7053, 145
ZEMAH,ZEMAH, 35.5839, 32.7024, -200
YAVNEEL,YAVNEEL, 35.5101, 32.6978, 0
MASSADA,MASSADA, 35.6008, 32.6833, -200
EN KARMEL,EN KARMEL, 34.9594, 32.6808, 25
