Name,Id,Lat,Lon,Hgt
Haifa Technion, Haifa Technion, 32.7736, 35.0223, 245
Haifa University,Haifa University, 32.7611, 35.0208, 475
Haifa Refineries, Haifa Refineries, 32.8034, 35.0548, 5
Afek,Afek, 32.8466, 35.1123, 10
Ein Horesh,Ein Horesh, 32.3877,  34.9376,15
Ein Karmel,Ein Karmel, 32.6808, 34.9594, 25
Shavei Zion,Shavei Zion, 32.9836, 35.0923, 25
Beit Dagan,Beit Dagan, 32.0073, 34.8138, 31
Kfar Blum,Kfar Blum, 33.1716, 35.6133, 75
Nesher,Nesher, 32.76994, 35.04226, 90
K.HAIM-REGAVIM,K.HAIM-REGAVIM, 32.830438, 35.056901, 7
K.Hasidim,K.Hasidim, 32.74263, 35.09444, 95
K.Bnyamin,K.Bnyamin, 32.78866, 35.08511, 5
K.Tivon,K.Tivon, 32.72180, 35.12940, 201
K.Yam,K.Yam, 32.85182, 35.07873, 27
Shprinzak,Shprinzak, 32.8226, 34.9651, 107
N.Shanan,N.Shanan, 32.78685, 35.02026, 240
Ahuza,Ahuza, 32.785247, 34.984667, 280
K.Bialik-Ofarim,K.Bialik-Ofarim, 32.8142, 35.07806, 4
IGUD, IGUD, 32.7895, 35.04066, 18
K.Ata,K.Ata, 32.8115, 35.11279, 65
