Name,Id,Lat,Lon,Hgt
Haifa Technion, Haifa Technion, 32.7736, 35.0223, 245
Haifa University,Haifa University, 32.7611, 35.0208, 475
Haifa Refineries, Haifa Refineries, 32.8034, 35.0548, 5
Afek,Afek, 32.8466, 35.1123, 10
Ein Karmel,Ein Karmel, 32.6808, 34.9594, 25
Shavei Zion,Shavei Zion, 32.9836, 35.0923, 25
Nesher,Nesher, 32.76994, 35.04226, 90
K.HAIM-REGAVIM,K.HAIM-REGAVIM, 32.830438, 35.056901, 7
K.Hasidim,K.Hasidim, 32.74263, 35.09444, 95
K.Bnyamin,K.Bnyamin, 32.78866, 35.08511, 5
K.Tivon,K.Tivon, 32.72180, 35.12940, 201
K.Yam,K.Yam, 32.85182, 35.07873, 27
Shprinzak,Shprinzak, 32.8226, 34.9651, 107
N.Shanan,N.Shanan, 32.78685, 35.02026, 240
Ahuza,Ahuza, 32.785247, 34.984667, 280
K.Bialik-Ofarim,K.Bialik-Ofarim, 32.8142, 35.07806, 4
IGUD, IGUD, 32.7895, 35.04066, 18
K.Ata,K.Ata, 32.8115, 35.11279, 65
Ein Karmel North,Ein Karmel, 32.6846, 34.9611, 25
Haifa Technion West,Haifa Technion, 32.7755, 35.0151, 245
Haifa University South, Haifa University, 32.7573, 35.0205, 475
Haifa University West, Haifa University,32.7619,35.0151, 475
Shavei Zion East,Shavei Zion, 32.9847, 35.0965, 25
Nesher South, Nesher, 32.7664, 35.0421, 90
K.Hasidim East, K.Hasidim, 32.7436,35.1016, 95
N.Shanan South, N.Shanan, 32.7801, 35.0205, 240
N.Shanan West, N.Shanan, 32.7846, 35.0151, 240
Ahuza East, Ahuza, 32.7846, 34.988, 280
K.Bialik-Ofarim South, K.Bialik-Ofarim, 32.8119, 35.08, 4
K.Bialik-Ofarim East, K.Bialik-Ofarim, 32.8164, 35.0854, 4
K.Ata East, K.Ata, 32.8118, 35.1179, 65
